순번,생산라인코드,생산라인명,품목코드,품목명,작업장코드,충전실온도,실링온도,쿠킹온도,쿠킹스팀압력,실링압력,생산시간,생산일자
4,P005,3.2K마요포장(#5),16B06079,골드마요네즈-NS 10kg,W007,72.267993714,126.66799371,161.92474371,23.505,199.999,76.96,2017-02-09
5,P0F0,PET#2,13D02284,오리엔탈드레싱-N 550g,W007,71.935747999,101.735748,137.504948,23.846,211.586,77.97,2017-02-09
4,C005,2동 쿠커 #4,26A02016,시아스단호박샐러드(이랜드)(재),W003,73.158111983,116.05811198,151.72101198,23.775,209.37,73.65,2017-02-10
5,C005,2동 쿠커 #4,26A02016,시아스단호박샐러드(이랜드)(재),W003,71.760339941,134.26033994,169.46563994,23.47,205.63,70.51,2017-02-10
1,C007,프리머 #1,26B03115,마요네즈P(현미유)/중국산난황(재),W003,70.541450946,99.141450946,134.64960095,23.672,203.833,74.2,2017-02-10
3,C007,프리머 #1,26B03115,마요네즈P(현미유)/중국산난황(재),W003,72.401587586,104.50158759,139.82283759,23.548,206.001,73.86,2017-02-10
2,C008,프리머 #2,26B06077,시아스골드마요네즈2kg-에스그린(재),W003,71.036347281,137.93634728,173.56239728,23.751,210.842,74.7,2017-02-10
6,D0036,로타리 #5,16B06077,시아스골드마요네즈2kg-에스그린,W005,71.42563629,93.32563629,128.57383629,23.499,207.302,79.23,2017-02-10
5,C001,쿠커 #1,23L00005,토마토케찹18kg(재),W003,71.238739372,102.23873937,137.45338937,23.476,201.98,72.26,2017-02-13
2,C003,쿠커 #3,23S01367,비스크소스E 2kg(재),W003,71.359944915,89.959944915,125.15864492,23.466,206.516,74.11,2017-02-13
1,C008,프리머 #2,26B06095,골드마요네즈3.2kg(캡파우치)(재),W003,71.293231194,93.693231194,129.56268119,23.913,207.936,79.85,2017-02-13
4,C010,파일롯,23D01158,키위드레싱-R(재),W003,72.530073721,118.93007372,153.64262372,23.142,205.283,,2017-02-13
3,C045,쿠커 #5,23R04025,맛을더해주는돈까스소스565g(재),W003,72.382855562,110.68285556,145.51125556,23.219,204.329,74.19,2017-02-13
2,C002,쿠커 #2,23D02291,렐리쉬머스타드(2kg)(재),W003,72.188187596,90.188187596,125.8365876,23.766,206.529,79.63,2017-02-14
5,C003,쿠커 #3,23A00442,샘표잘익은고추장에생야채가득비빔국수(재),W003,73.006983921,106.50698392,141.78983392,23.522,208.004,75.29,2017-02-15
3,C005,2동 쿠커 #4,26A01015,감자무스(재),W003,72.063130991,99.063130991,135.10413099,24.027,208.556,74.09,2017-02-14
4,C010,파일롯,23B00075,허니칵테일베이스(재),W003,72.269824159,91.969824159,127.08047416,23.407,205.825,78.4,2017-02-14
6,D006,튜브,13A00442,샘표잘익은고추장에생야채가득비빔국수,W005,70.417258605,109.6172586,145.9421586,24.217,215.34,81.38,2017-02-15
1,P0F0,PET#2,13D02286,발사믹올리브유드레싱235g,W007,71.961341108,127.66134111,162.60939111,23.299,200.63,75.94,2017-02-14
4,C001,쿠커 #1,23S01375,고메토마토소스100g(재),W003,70.107679248,96.707679248,132.34892925,23.761,201.106,80.23,2017-02-15
5,C001,쿠커 #1,23L00015,네네토마토케첩153kg(재),W003,71.705763414,118.80576341,154.31746341,23.674,213.126,76.5,2017-02-15
6,C001,쿠커 #1,23L00015,네네토마토케첩153kg(재),W003,72.42398102,107.82398102,142.94798102,23.416,203.132,71.38,2017-02-15
2,C003,쿠커 #3,23A00442,샘표잘익은고추장에생야채가득비빔국수(재),W003,71.273255946,113.67325595,148.64540595,23.315,201.268,74.57,2017-02-15
1,L002,전처리2실,1.#JE+00,멸치육수E(재),W002,70.841714236,102.74171424,139.38841424,24.431,214.924,77.53,2017-02-15
3,P005,3.2K마요포장(#5),16B06084,디딤돌골드마요네즈3.2kg,W007,72.747774687,108.74777469,143.66817469,23.28,202.908,72.86,2017-02-15
7,P0F0,PET#2,13D02243,키위저지방샐러드소스-N 235g,W007,72.127386271,105.82738627,140.98063627,23.436,205.208,74.49,2017-02-15
3,C001,쿠커 #1,23K01420,하림데미그라스소스30g(재),W003,72.355066283,122.95506628,158.20361628,23.499,206.485,72.73,2017-02-16
5,C001,쿠커 #1,23L00015,네네토마토케첩153kg(재),W003,72.028595049,115.52859505,151.56319505,24.023,210.87,76.48,2017-02-16
1,C010,파일롯,23K01433,고추장소스(재),W003,71.962565213,105.66256521,141.46331521,23.867,212.31,71.78,2017-02-16
2,C010,파일롯,23K01433,고추장소스(재),W003,70.988114682,97.788114682,133.61191468,23.883,216.702,76.98,2017-02-16
6,C010,파일롯,23R08020,유생촌타르타르소스2kg(재),W003,68.954412283,108.75441228,144.45491228,23.8,210.407,72.98,2017-02-16
10,C088,냉동밥 취반#1,2BA03069,CJ낙지볶음밥(재),W003,73.768633045,117.26863305,153.12328305,23.903,211.394,74.75,2017-02-16
15,C088,냉동밥 취반#1,2BA03174,통새우볶음밥(노브랜드)(재),W003,71.660051399,105.3600514,140.5553514,23.464,207.693,79.18,2017-02-17
9,D087,냉동밥 내포장#2,1BA03158,비비고불고기비빔밥200g,W005,71.226196405,91.926196405,126.8998964,23.316,203.637,77.1,2017-02-16
12,D088,냉동밥 내포장#1,1BA03069,CJ낙지볶음밥*5ea,W005,72.245426622,102.04542662,137.01407662,23.312,204.304,76.32,2017-02-16
8,D088,냉동밥 내포장#1,1BA03069,CJ낙지볶음밥*5ea,W005,72.379566975,123.47956698,158.02631698,23.031,198.681,,2017-02-16
11,D088,냉동밥 내포장#1,1BA03069,CJ낙지볶음밥*5ea,W005,72.529044441,101.62904444,137.43429444,23.87,210.213,79.34,2017-02-16
13,D088,냉동밥 내포장#1,1BA03051,쉐프솔루션베이스볶음밥(시즌)500g,W005,70.777655745,133.77765575,168.79650575,23.346,207.348,77.09,2017-02-16
14,D088,냉동밥 내포장#1,1BA03005,낙지볶음밥300g,W005,71.800430746,106.10043075,141.48408075,23.589,210.017,73.13,2017-02-17
7,P022,냉동밥 외포장#2,1BA03158,비비고불고기비빔밥200g,W007,69.081732358,78.881732358,113.30463236,22.949,204.408,,2017-02-16
3,C002,쿠커 #2,23D13030,시아스칠리소스2kg(재),W003,69.927092307,88.227092307,122.77554231,23.032,200.911,,2017-02-17
4,C010,파일롯,23R13024,와사비마요소스-K(재),W003,71.157381499,90.657381499,125.8998315,23.495,203.401,72.56,2017-02-17
5,D087,냉동밥 내포장#2,1BA03007,게살볶음밥300g,W005,70.814724861,89.114724861,124.51742486,23.602,209.87,79.55,2017-02-17
2,D088,냉동밥 내포장#1,1BA03163,취나물현미밥1kg,W005,71.817103397,87.017103397,122.6462534,23.753,208.591,79.24,2017-02-17
6,D088,냉동밥 내포장#1,1BA03163,취나물현미밥1kg,W005,72.238086676,87.238086676,122.86193668,23.749,209.488,78.36,2017-02-17
8,D088,냉동밥 내포장#1,1BA03160,탄두리닭가슴살현미볶음밥1kg,W005,71.828129003,78.028129003,113.652329,23.749,210.699,78.27,2017-02-18
7,D088,냉동밥 내포장#1,1BA03162,야채현미밥H1kg,W005,71.630874697,85.930874697,121.6196747,23.793,210.808,71.42,2017-02-18
1,P022,냉동밥 외포장#2,1BA03007,게살볶음밥300g,W007,72.33022538,83.63022538,119.31022538,23.787,206.763,73,2017-02-16
6,C001,쿠커 #1,23L00015,네네토마토케첩153kg(재),W003,71.975132175,89.775132175,125.38763218,23.742,204.679,78.28,2017-02-20
12,C001,쿠커 #1,23S01326,토마토스파게티소스2.95kg(재),W003,71.504546757,95.604546757,131.22664676,23.748,203.516,71.95,2017-02-20
19,C001,쿠커 #1,23S01326,토마토스파게티소스2.95kg(재),W003,72.25042898,88.75042898,124.36107898,23.74,202.508,75.4,2017-02-20
9,C002,쿠커 #2,23S01080,시아스화이트스파게티스(재),W003,71.957656374,85.557656374,121.24330637,23.79,208.044,74.63,2017-02-20
1,C004,쿠커 #4,23D02286,발사믹올리브유드레싱235g(재),W003,71.807964062,91.007964062,126.66846406,23.774,213.112,73.93,2017-02-20
2,C045,쿠커 #5,23D02285,오리엔탈드레싱-N 115g(재),W003,71.547877199,88.247877199,123.9356272,23.792,206.059,79.48,2017-02-20
10,C087,냉동밥 취반#2,,,W003,72.159548202,86.359548202,122.0943482,23.823,206.686,72.28,2017-02-20
11,C087,냉동밥 취반#2,,,W003,71.484704065,91.484704065,127.15795406,23.782,212.207,79.98,2017-02-20
15,C088,냉동밥 취반#1,2BA03051,쉐프솔루션베이스볶음밥(시즌)500g(재),W003,72.129434707,82.829434707,118.47158471,23.761,206.979,74.96,2017-02-20
23,C088,냉동밥 취반#1,2BA03051,쉐프솔루션베이스볶음밥(시즌)500g(재),W003,71.963671656,77.263671656,112.93637166,23.782,204.117,79.02,2017-02-21
21,C088,냉동밥 취반#1,2BA03051,쉐프솔루션베이스볶음밥(시즌)500g(재),W003,72.091146138,94.891146138,130.55234614,23.774,209.78,78.96,2017-02-21
25,C088,냉동밥 취반#1,2BA03093,비비고취나물밥200g(재),W003,72.34257832,90.54257832,126.24807832,23.804,207.723,77.4,2017-02-21
31,C088,냉동밥 취반#1,2BA03066,CJ새우볶음밥(재),W003,72.090053207,85.690053207,121.38130321,23.794,208.63,73.94,2017-02-21
26,C088,냉동밥 취반#1,2BA03004,새우볶음밥300g(재),W003,72.483328197,88.483328197,124.2419282,23.839,211.053,76.14,2017-02-21
33,C088,냉동밥 취반#1,2BA03004,새우볶음밥300g(재),W003,72.109200084,85.309200084,120.96110008,23.768,213.864,71.42,2017-02-21
14,C088,냉동밥 취반#1,,,W003,71.515845042,86.015845042,121.66374504,23.765,206.655,78.92,2017-02-23
20,D001,3K 캔,13S01326,토마토스파게티소스2.95kg,W005,72.071374037,83.471374037,119.17142404,23.8,207.086,74.15,2017-02-20
3,D088,냉동밥 내포장#1,1BA03051,쉐프솔루션베이스볶음밥(시즌)500g,W005,71.626179184,92.626179184,128.31857918,23.795,209.381,77.22,2017-02-20
13,D088,냉동밥 내포장#1,1BA03051,쉐프솔루션베이스볶음밥(시즌)500g,W005,72.274887744,91.374887744,127.13483774,23.84,206.308,72.04,2017-02-20
22,D088,냉동밥 내포장#1,1BA03093,비비고취나물밥200g,W005,71.922337969,89.922337969,125.69158797,23.846,212.889,78.53,2017-02-21
24,D088,냉동밥 내포장#1,1BA03072,CJ새우볶음밥/20개입,W005,71.963612841,96.063612841,131.83561284,23.848,211.741,80.36,2017-02-21
27,D088,냉동밥 내포장#1,1BA03072,CJ새우볶음밥/20개입,W005,72.07126526,93.07126526,128.91891526,23.898,208.902,79.92,2017-02-21
32,D088,냉동밥 내포장#1,1BA03004,새우볶음밥300g,W005,72.065194494,85.665194494,121.46914449,23.869,203.65,78.09,2017-02-21
5,L001,전처리1실,23S01080,시아스화이트스파게티스(재),W002,72.293068331,92.093068331,127.87331833,23.854,202.352,78.28,2017-02-20
28,P021,냉동밥 외포장#1,1BA03004,새우볶음밥300g,W007,72.199685091,90.799685091,126.49803509,23.799,207.161,79.41,2017-02-21
30,P021,냉동밥 외포장#1,1BA03004,새우볶음밥300g,W007,71.767484798,91.267484798,126.9416348,23.783,208.371,77.6,2017-02-21
29,P021,냉동밥 외포장#1,1BA03004,새우볶음밥300g,W007,72.393417323,99.393417323,135.07476732,23.788,208.761,75.39,2017-02-21
13,C001,쿠커 #1,23R09039,치즈소스-HM(9kg)(재),W003,72.027240076,90.527240076,126.27504008,23.832,214.118,72.28,2017-02-21
1,C002,쿠커 #2,23S19071,오레또미트스파게티소스1kg(재),W003,72.110417482,108.41041748,144.09241748,23.788,211.202,75.71,2017-02-21
9,C007,프리머 #1,26B01006,시아스샐러드마요-2(자사용)(재),W003,72.318755715,96.618755715,132.26755571,23.766,210.987,75.42,2017-02-21
2,C008,프리머 #2,26B06048,천년풍미퓨어마요네즈(재),W003,72.126003288,100.22600329,136.00420329,23.852,208.789,73.04,2017-02-21
15,C087,냉동밥 취반#2,,,W003,71.697375701,104.2973757,140.0775757,23.853,210.122,73.63,2017-02-21
12,C088,냉동밥 취반#1,2BA03094,비비고곤드레밥200g(재),W003,72.088986597,106.5889866,142.3168366,23.819,214.098,79.37,2017-02-21
16,C088,냉동밥 취반#1,2BA03194,장조림라이스E 1kg(재),W003,71.873300935,104.37330093,140.19730093,23.883,210.087,79.45,2017-02-21
23,C088,냉동밥 취반#1,2BA03194,장조림라이스E 1kg(재),W003,72.06860883,108.56860883,144.39410883,23.884,207.282,80.2,2017-02-22
4,C096,2동 쿠커 #2,23K01310,일식돈까스소스(재),W003,72.581755528,135.08175553,170.89830553,23.878,207.693,74.16,2017-02-21
6,D007,2동 6열컵실러#1,16A01061,고구마샐러드100g,W005,71.478675289,76.478675289,111.97612529,23.665,209.197,71.81,2017-02-21
3,D087,냉동밥 내포장#2,1BA03157,비비고낙지비빔밥200g,W005,71.434392627,92.834392627,128.30914263,23.65,208.078,74.48,2017-02-21
8,D088,냉동밥 내포장#1,1BA03094,비비고곤드레밥200g,W005,71.514545726,85.114545726,120.62014573,23.67,203.764,72.18,2017-02-21
11,D088,냉동밥 내포장#1,1BA03094,비비고곤드레밥200g,W005,71.1730789,80.6730789,116.2525289,23.72,205.275,71.68,2017-02-21
18,D088,냉동밥 내포장#1,1BA03194,장조림라이스E 1kg,W005,71.807808005,86.907808005,122.394908,23.658,207.373,74.98,2017-02-21
20,D088,냉동밥 내포장#1,1BA03194,장조림라이스E 1kg,W005,71.5201378,76.8201378,112.2950378,23.65,208.107,75.52,2017-02-21
24,D088,냉동밥 내포장#1,1BA03194,장조림라이스E 1kg,W005,71.371642457,86.171642457,121.62589246,23.636,209.885,71.5,2017-02-22
25,D088,냉동밥 내포장#1,1BA03194,장조림라이스E 1kg,W005,72.032636076,90.832636076,126.35943608,23.685,210.976,76.51,2017-02-22
5,G002,볶음 공정,2BA03157,비비고낙지비빔밥200g(재),W012,70.981351373,93.081351373,128.42780137,23.564,198.572,77.19,2017-02-21
7,P021,냉동밥 외포장#1,1BA03194,장조림라이스E 1kg,W007,70.730624722,96.330624722,131.66312472,23.555,204.562,76.4,2017-02-21
10,P021,냉동밥 외포장#1,1BA03094,비비고곤드레밥200g,W007,71.074451361,90.174451361,125.46725136,23.529,215.803,74.3,2017-02-21
17,P021,냉동밥 외포장#1,1BA03094,비비고곤드레밥200g,W007,71.537031066,93.937031066,129.31123107,23.583,210.859,79.27,2017-02-21
19,P021,냉동밥 외포장#1,1BA03094,비비고곤드레밥200g,W007,71.499655567,83.699655567,119.04615557,23.564,211.013,79.21,2017-02-21
22,P021,냉동밥 외포장#1,1BA03194,장조림라이스E 1kg,W007,71.663585192,95.263585192,130.75348519,23.66,212.117,79.74,2017-02-22
26,P021,냉동밥 외포장#1,1BA03194,장조림라이스E 1kg,W007,71.168661905,99.768661905,135.22281191,23.636,206.241,77.97,2017-02-22
21,P021,냉동밥 외포장#1,1BA03194,장조림라이스E 1kg,W007,71.392240731,88.792240731,124.28399073,23.661,215.284,71.9,2017-02-22
14,P022,냉동밥 외포장#2,1BA03157,비비고낙지비빔밥200g,W007,71.010986705,84.610986705,120.07538671,23.643,207.49,73.35,2017-02-21
9,C001,쿠커 #1,23K01420,하림데미그라스소스30g(재),W003,71.816007215,92.616007215,128.08030721,23.643,207.79,77.37,2017-02-22
12,C001,쿠커 #1,23K01420,하림데미그라스소스30g(재),W003,71.98089772,112.38089772,147.90444772,23.682,210.999,73.87,2017-02-22
18,C006,2동 쿠커 #3,21501122,조미액-갈릭라이스3kg(재),W003,71.847798465,82.947798465,118.50209846,23.703,211.149,73.09,2017-02-22
10,C008,프리머 #2,26B06095,골드마요네즈3.2kg(캡파우치)(재),W003,71.732400633,93.432400633,128.99875063,23.711,209.679,75.06,2017-02-22
15,C010,파일롯,23G02004,매운간장양념치킨소스(재),W003,71.042815559,88.742815559,124.21576556,23.649,203.1,77.71,2017-02-22
25,C087,냉동밥 취반#2,,,W003,71.966886203,91.266886203,126.7833862,23.678,209.287,78.51,2017-02-20
14,C087,냉동밥 취반#2,2BA03200,비비고새우볶음밥210g(알밥)(재),W003,71.683533674,95.383533674,130.95223367,23.712,207.927,80.03,2017-02-22
24,C087,냉동밥 취반#2,2BA03200,비비고새우볶음밥210g(알밥)(재),W003,71.459791606,96.959791606,132.57674161,23.745,210.326,78.77,2017-02-22
23,C088,냉동밥 취반#1,2BA03023,갈릭라이스3kg(재),W003,71.267631526,96.867631526,132.49218153,23.75,209.872,77.17,2017-02-22
19,C088,냉동밥 취반#1,2BA03023,갈릭라이스3kg(재),W003,72.014447382,87.114447382,122.69919738,23.723,216.463,71.5,2017-02-22
28,C088,냉동밥 취반#1,2BA03176,비비고시래기나물밥200g(재),W003,71.314251334,91.914251334,127.49060133,23.718,207.662,72.23,2017-02-22
34,C088,냉동밥 취반#1,2BA03065,CJ햄야채볶음밥(재),W003,71.43986854,87.23986854,122.83801854,23.732,208.148,73.39,2017-02-23
40,C088,냉동밥 취반#1,2BA03003,햄야채볶음밥300g(재),W003,71.912309297,99.712309297,135.2991093,23.725,203.91,76.47,2017-02-23
41,C088,냉동밥 취반#1,2BA03003,햄야채볶음밥300g(재),W003,71.794727279,109.89472728,145.53822728,23.762,207.492,79.88,2017-02-23
29,C096,2동 쿠커 #2,23K01121,디오니스살사소스(재),W003,71.835980833,101.53598083,137.12078083,23.723,206.765,78.14,2017-02-22
11,D087,냉동밥 내포장#2,1BA03200,비비고새우볶음밥210g(알밥),W005,71.551791957,92.751791957,128.33389196,23.721,205.68,79.35,2017-02-22
16,D087,냉동밥 내포장#2,1BA03200,비비고새우볶음밥210g(알밥),W005,71.145055579,88.845055579,124.40475558,23.706,201.549,71.57,2017-02-22
5,D088,냉동밥 내포장#1,1BA03194,장조림라이스E 1kg,W005,71.954060505,90.954060505,126.58196051,23.752,210.55,74.72,2017-02-22
6,D088,냉동밥 내포장#1,1BA03023,갈릭라이스3kg,W005,72.295528396,92.695528396,128.3965284,23.801,208.38,75.12,2017-02-22
22,D088,냉동밥 내포장#1,1BA03023,갈릭라이스3kg,W005,71.450526597,91.950526597,127.5940266,23.762,204.344,77.91,2017-02-22
30,D088,냉동밥 내포장#1,1BA03176,비비고시래기나물밥200g,W005,72.439641213,93.939641213,129.74094121,23.868,209.316,73.94,2017-02-22
32,D088,냉동밥 내포장#1,1BA03176,비비고시래기나물밥200g,W005,72.256723176,89.656723176,125.41457318,23.839,204.629,71.74,2017-02-22
36,D088,냉동밥 내포장#1,1BA03074,CJ햄야채볶음밥3kg,W005,71.726807232,92.126807232,127.80720723,23.787,206.094,79.81,2017-02-23
37,D088,냉동밥 내포장#1,1BA03074,CJ햄야채볶음밥3kg,W005,71.270236109,98.970236109,134.60483611,23.756,212.251,73.73,2017-02-23
42,D088,냉동밥 내포장#1,1BA03003,햄야채볶음밥300g,W005,71.481606421,94.981606421,130.70235642,23.814,208.374,74.16,2017-02-23
13,G002,볶음 공정,2BA03200,비비고새우볶음밥210g(알밥)(재),W012,71.672944845,92.072944845,127.84314485,23.847,207.994,78.05,2017-02-22
20,G002,볶음 공정,2BA03200,비비고새우볶음밥210g(알밥)(재),W012,71.529827484,98.229827484,133.88642748,23.771,208.727,73.38,2017-02-22
3,P021,냉동밥 외포장#1,1BA03094,비비고곤드레밥200g,W007,71.981445275,86.381445275,122.09619528,23.81,206.671,75.15,2017-02-21
2,P021,냉동밥 외포장#1,1BA03194,장조림라이스E 1kg,W007,71.787908303,90.087908303,125.5936083,23.67,208.001,73.39,2017-02-21
1,P021,냉동밥 외포장#1,1BA03194,장조림라이스E 1kg,W007,71.292814209,93.992814209,129.52366421,23.687,209.502,79.49,2017-02-22
4,P021,냉동밥 외포장#1,1BA03194,장조림라이스E 1kg,W007,71.874181145,98.874181145,134.45578114,23.721,208.699,71.37,2017-02-22
7,P021,냉동밥 외포장#1,1BA03094,비비고곤드레밥200g,W007,72.029827505,91.329827505,126.8340275,23.669,208.798,78.56,2017-02-22
8,P021,냉동밥 외포장#1,1BA03094,비비고곤드레밥200g,W007,71.425704923,89.825704923,125.33035492,23.67,206.813,73.93,2017-02-22
21,P021,냉동밥 외포장#1,1BA03023,갈릭라이스3kg,W007,71.514746194,85.314746194,120.81049619,23.664,214.649,77.54,2017-02-22
31,P021,냉동밥 외포장#1,1BA03023,갈릭라이스3kg,W007,71.695782376,93.495782376,129.02313238,23.685,209.46,79.53,2017-02-22
35,P021,냉동밥 외포장#1,1BA03176,비비고시래기나물밥200g,W007,72.135287691,93.335287691,128.88673769,23.701,207.273,78.39,2017-02-23
38,P021,냉동밥 외포장#1,1BA03074,CJ햄야채볶음밥3kg,W007,71.133317172,95.633317172,131.08711717,23.636,210.237,72.67,2017-02-23
39,P021,냉동밥 외포장#1,1BA03074,CJ햄야채볶음밥3kg,W007,71.709421436,87.809421436,123.31672144,23.672,202.136,79.19,2017-02-23
43,P021,냉동밥 외포장#1,1BA03003,햄야채볶음밥300g,W007,71.288386478,92.388386478,127.88623648,23.665,207.52,76.96,2017-02-23
33,P021,냉동밥 외포장#1,1BA03176,비비고시래기나물밥200g,W007,72.006893642,91.306893642,126.79604364,23.659,206.382,71.74,2017-02-23
17,P022,냉동밥 외포장#2,1BA03200,비비고새우볶음밥210g(알밥),W007,72.029534263,99.429534263,134.92818426,23.666,206.712,71.65,2017-02-22
26,P022,냉동밥 외포장#2,1BA03200,비비고새우볶음밥210g(알밥),W007,71.782142754,95.082142754,130.58134275,23.666,207.481,78.87,2017-02-22
27,P0F0,PET#2,13D02243,키위저지방샐러드소스-N 235g,W007,71.478890987,95.778890987,131.27804099,23.666,213.435,79.86,2017-02-22
9,C007,프리머 #1,26B03011,네네마요네즈153kg(재),W003,71.346151068,89.746151068,125.25300107,23.671,206.45,75.9,2017-02-23
17,C010,파일롯,26B03014,명란마요1kg(재),W003,71.211027246,93.111027246,128.65287725,23.695,207.162,79.65,2017-02-23
19,C010,파일롯,24106002,시아스'多'쇠고기-수상부,W003,71.721173576,93.421173576,128.95752358,23.691,207.008,71.09,2017-02-23
13,C088,냉동밥 취반#1,2BA03006,김치볶음밥300g(재),W003,71.821480487,91.021480487,126.67308049,23.768,212.229,77.48,2017-02-23
16,C088,냉동밥 취반#1,2BA03006,김치볶음밥300g(재),W003,72.124759196,91.524759196,127.1053592,23.72,210.6,72.38,2017-02-23
23,C088,냉동밥 취반#1,2BA03175,매콤낙지볶음밥(노브랜드)(재),W003,72.124798525,96.624798525,132.24439852,23.746,208.394,74.61,2017-02-23
25,C088,냉동밥 취반#1,2BA03094,비비고곤드레밥200g(재),W003,72.121314595,92.521314595,128.1694646,23.765,206.623,71.97,2017-02-24
28,C088,냉동밥 취반#1,2BA03094,비비고곤드레밥200g(재),W003,72.317718232,91.517718232,127.17971823,23.775,202.712,78.61,2017-02-24
11,D004,PET병,13D02277,참깨&흑임자드레싱-N 495g,W005,72.097699123,97.397699123,133.08059912,23.789,209.205,71.4,2017-02-23
10,D087,냉동밥 내포장#2,1BA03200,비비고새우볶음밥210g(알밥),W005,72.379518168,91.079518168,126.78091817,23.801,208.092,75.69,2017-02-23
8,D088,냉동밥 내포장#1,1BA03006,김치볶음밥300g,W005,71.851357349,89.051357349,124.73180735,23.787,207.803,73.41,2017-02-23
12,D088,냉동밥 내포장#1,1BA03006,김치볶음밥300g,W005,71.75708074,93.05708074,128.77798074,23.814,211.268,80.1,2017-02-23
14,D088,냉동밥 내포장#1,1BA03159,비비고깍두기볶음밥200g,W005,72.135888794,92.635888794,128.27718879,23.761,205.322,72.53,2017-02-23
18,D088,냉동밥 내포장#1,1BA03159,비비고깍두기볶음밥200g,W005,71.489133613,89.689133613,125.35083361,23.774,215.539,78.37,2017-02-23
20,D088,냉동밥 내포장#1,1BA03175,매콤낙지볶음밥(노브랜드),W005,72.020229161,86.320229161,122.07957916,23.84,207.085,79.81,2017-02-23
22,D088,냉동밥 내포장#1,1BA03175,매콤낙지볶음밥(노브랜드),W005,72.28258955,91.88258955,127.58743955,23.803,205.834,74.63,2017-02-23
26,D088,냉동밥 내포장#1,1BA03094,비비고곤드레밥200g,W005,71.647820944,83.847820944,119.52762094,23.787,208.743,76.25,2017-02-24
29,D088,냉동밥 내포장#1,1BA03094,비비고곤드레밥200g,W005,72.03958664,98.53958664,134.20323664,23.776,206.994,77.43,2017-02-24
1,P021,냉동밥 외포장#1,1BA03176,비비고시래기나물밥200g,W007,71.76529687,89.66529687,125.19959687,23.69,208.109,71.22,2017-02-23
2,P021,냉동밥 외포장#1,1BA03176,비비고시래기나물밥200g,W007,71.163385161,89.863385161,125.41703516,23.702,210.248,71.54,2017-02-23
3,P021,냉동밥 외포장#1,1BA03176,비비고시래기나물밥200g,W007,71.224793961,90.424793961,125.96549396,23.694,203.938,77.21,2017-02-23
4,P021,냉동밥 외포장#1,1BA03176,비비고시래기나물밥200g,W007,71.769558958,89.169558958,124.75850896,23.726,210.55,72.39,2017-02-23
5,P021,냉동밥 외포장#1,1BA03176,비비고시래기나물밥200g,W007,71.458752034,92.058752034,127.69660203,23.759,212.13,75.21,2017-02-23
6,P021,냉동밥 외포장#1,1BA03065,CJ햄야채볶음밥*5ea,W007,71.746105989,88.746105989,124.39810599,23.768,208.126,72.2,2017-02-23
7,P021,냉동밥 외포장#1,1BA03006,김치볶음밥300g,W007,72.146835339,102.04683534,137.65233534,23.737,203.425,74.61,2017-02-23
15,P021,냉동밥 외포장#1,1BA03159,비비고깍두기볶음밥200g,W007,72.382285946,93.682285946,129.36103595,23.786,205.323,79.53,2017-02-23
21,P021,냉동밥 외포장#1,1BA03159,비비고깍두기볶음밥200g,W007,71.555152,99.255152,134.865102,23.74,215.503,79.22,2017-02-23
27,P021,냉동밥 외포장#1,1BA03175,매콤낙지볶음밥(노브랜드),W007,72.265553253,94.365553253,130.04325325,23.785,211.26,76.27,2017-02-24
30,P021,냉동밥 외포장#1,1BA03094,비비고곤드레밥200g,W007,71.53951042,91.83951042,127.52741042,23.792,208.291,73.5,2017-02-24
24,P021,냉동밥 외포장#1,1BA03175,매콤낙지볶음밥(노브랜드),W007,71.382209207,87.482209207,123.12015921,23.759,206.438,76.25,2017-02-24
10,C087,냉동밥 취반#2,2BA03158,비비고불고기비빔밥200g(재),W003,71.69109672,91.49109672,127.14579672,23.77,205.677,79.91,2017-02-24
9,C088,냉동밥 취반#1,2BA03011,치킨데리야끼볶음밥300g(재),W003,71.780125125,93.780125125,129.49552512,23.81,211.031,78.24,2017-02-24
22,C088,냉동밥 취반#1,2BA03009,소불고기볶음밥300g(재),W003,72.390428714,82.590428714,118.33257871,23.828,208.304,75.93,2017-02-24
18,C088,냉동밥 취반#1,2BA03093,비비고취나물밥200g(재),W003,72.142378915,89.842378915,125.58087891,23.826,206.702,73.19,2017-02-24
23,C088,냉동밥 취반#1,2BA03064,CJ해물볶음밥(재),W003,72.241776555,102.84177656,138.60397656,23.841,207.359,72.17,2017-02-25
14,D002,로타리 #1,13A00013,맘스양념소스2kg,W005,72.372654768,99.372654768,135.13845477,23.844,207.857,73.09,2017-02-24
3,D006,튜브,1.#JE+00,가쓰오다시국물900ml,W005,72.086803943,90.986803943,126.71275394,23.817,211.9,71.96,2017-02-24
4,D006,튜브,1.#JE+00,가쓰오다시국물900ml,W005,71.712429686,93.112429686,128.77397969,23.774,214.664,77.48,2017-02-24
2,D087,냉동밥 내포장#2,1BA03158,비비고불고기비빔밥200g,W005,71.866113611,87.866113611,123.27106361,23.603,206.249,76.89,2017-02-24
5,D088,냉동밥 내포장#1,1BA03011,치킨데리야끼볶음밥300g,W005,71.11168015,109.91168015,145.20963015,23.532,204.923,77.79,2017-02-24
8,D088,냉동밥 내포장#1,1BA03011,치킨데리야끼볶음밥300g,W005,71.034948748,108.33494875,143.65919875,23.55,206.136,74.96,2017-02-24
